dep2,dep3,circo,pano,id,nom,prenom,civ,nuanceId,nuanceCode,nuanceNom,voix,pct_inscrits,pct_exprimes,elu,maj
05,005,1,4,0050104,GUEZENGAR,Louisiane,F,13,LR,Les Républicains,5391,9.26,15.04,B,2022-05-23 14:01:32
05,005,2,1,0050201,GORAJSKI,Anne-Lyse,F,10,REM,La République en marche,14768,27.73,44.82,B,2022-05-23 14:01:32
05,005,2,6,0050206,DESSAUSE,Elio,M,14,DVD,Divers droite,4375,8.21,13.28,B,2022-05-23 14:01:32
06,006,1,8,0060108,LEGLER,Mikaël,M,13,LR,Les Républicains,17471,22.15,35.89,B,2022-05-23 14:01:33
06,006,1,5,0060105,MAME,Charlyne,F,10,REM,La République en marche,16101,20.41,33.08,B,2022-05-23 14:01:33
06,006,2,6,0060206,KIRIAKOS,Giles,M,10,REM,La République en marche,22791,26.08,42.18,B,2022-05-23 14:01:33
06,006,2,9,0060209,JOND-SERRASSON,Grâce,F,12,UDI,Union des Démocrates et Indépendants,13312,15.24,24.63,B,2022-05-23 14:01:33
06,006,3,8,0060308,BAULAND,Jacques-Pierre,M,10,REM,La République en marche,20982,23.58,38.29,B,2022-05-23 14:01:34
06,006,3,13,0060313,BARDONESCHI,Jean-Marc,M,3,FI,La France insoumise,7415,8.33,13.53,B,2022-05-23 14:01:34
06,006,4,7,0060407,ZELAYA,Marie-Yvonne,F,10,REM,La République en marche,13413,16.23,26.33,B,2022-05-23 14:01:34
06,006,4,3,0060403,YOUSSOUFI,Jean- Marie,M,13,LR,Les Républicains,9886,11.96,19.40,B,2022-05-23 14:01:34
06,006,5,6,0060506,AIGOIN DE MONTREDON,Saadia,F,13,LR,Les Républicains,9839,11.10,18.07,B,2022-05-23 14:01:35
06,006,5,11,0060511,SPINASSOU,Augustine,F,8,DIV,Divers,7284,8.22,13.38,B,2022-05-23 14:01:35
06,006,6,1,0060601,EULRY,Edwige,F,11,MDM,Modem,15853,20.47,33.20,B,2022-05-23 14:01:35
06,006,6,10,0060610,GLOTZ,Yvelyne,F,13,LR,Les Républicains,13136,16.96,27.51,B,2022-05-23 14:01:35
06,006,7,2,0060702,FRANEY,Jean-Georges,M,13,LR,Les Républicains,18050,19.28,31.40,B,2022-05-23 14:01:35
06,006,7,13,0060713,LIZER,Dorian,M,10,REM,La République en marche,17814,19.02,30.99,B,2022-05-23 14:01:35
06,006,8,9,0060809,SERDJANIAN,Pierre-Paul,M,10,REM,La République en marche,15551,19.33,30.99,B,2022-05-23 14:01:36
06,006,8,10,0060810,DEMARLE,Jean-Alexandre,M,13,LR,Les Républicains,15238,18.94,30.37,B,2022-05-23 14:01:36
06,006,9,7,0060907,TOUTAUD,Régina,F,10,REM,La République en marche,18134,22.85,37.08,B,2022-05-23 14:01:36
06,006,9,10,0060910,BLOTTIER,Laurinda,F,13,LR,Les Républicains,15371,19.37,31.43,B,2022-05-23 14:01:36
07,007,1,5,0070105,BEN LAHOUCINE,Axel,M,10,REM,La République en marche,11510,14.70,23.72,B,2022-05-23 14:01:38
07,007,1,14,0070114,LUASSE,Guy-Albert,M,4,SOC,Parti socialiste,9350,11.94,19.27,B,2022-05-23 14:01:38
07,007,2,6,0070206,CUALLADO,Monika,F,10,REM,La République en marche,15667,16.64,26.93,B,2022-05-23 14:01:38
07,007,2,9,0070209,TETU-EDIN,Argitxu,F,4,SOC,Parti socialiste,14211,15.10,24.43,B,2022-05-23 14:01:38
07,007,3,11,0070311,VERSAL,Tim,M,10,REM,La République en marche,15207,19.30,31.23,B,2022-05-23 14:01:38
07,007,3,5,0070305,MOURIDI ALI,Marc-André,M,13,LR,Les Républicains,12652,16.06,25.98,B,2022-05-23 14:01:38
08,008,1,10,0080110,BISSEUX,Florianne,F,13,LR,Les Républicains,17006,24.36,39.51,B,2022-05-23 14:01:39
08,008,1,1,0080101,MADOURI,Jean-Roger,M,10,REM,La République en marche,10834,15.52,25.17,B,2022-05-23 14:01:39
08,008,2,2,0080202,BOUTEN,Gerhard,M,13,LR,Les Républicains,14209,23.71,38.30,B,2022-05-23 14:01:40
08,008,2,3,0080203,HIDEE,Vital,M,10,REM,La République en marche,12286,20.50,33.12,B,2022-05-23 14:01:40
08,008,3,6,0080306,GIRARD-MIRVAUX,Yvan,M,13,LR,Les Républicains,16818,30.74,49.90,B,2022-05-23 14:01:40
08,008,3,3,0080303,DEPAMOND,Rozenn,F,10,REM,La République en marche,5344,9.77,15.86,B,2022-05-23 14:01:40
09,009,1,2,0090102,LE GÔ,Abdelkader,M,10,REM,La République en marche,10249,18.09,29.19,B,2022-05-23 14:01:41
09,009,1,4,0090104,BAVIOUL,Manon,F,3,FI,La France insoumise,6714,11.85,19.12,B,2022-05-23 14:01:41
09,009,2,8,0090208,ROCCI,Heidi,F,10,REM,La République en marche,13468,22.01,35.51,B,2022-05-23 14:01:41
09,009,2,9,0090209,COSTE-CHAREYRE,Maël,M,3,FI,La France insoumise,9196,15.03,24.25,B,2022-05-23 14:01:41
10,010,1,2,0100102,BAURAIN,Charles-Edouard,M,10,REM,La République en marche,16490,25.78,41.75,B,2022-05-23 14:01:42
10,010,1,9,0100109,GAEHNHE,Jacqui,M,3,FI,La France insoumise,4118,6.44,10.43,B,2022-05-23 14:01:42
10,010,2,12,0100212,EDOUART GRANDCOURT,Julienne,F,10,REM,La République en marche,15166,20.47,33.40,B,2022-05-23 14:01:43
10,010,2,11,0100211,VEISSIER,Denise,F,13,LR,Les Républicains,12606,17.01,27.76,B,2022-05-23 14:01:43
10,010,3,11,0100311,RIPANTI,Williams,M,11,MDM,Modem,15318,23.42,38.06,B,2022-05-23 14:01:43
10,010,3,4,0100304,HILAIRE-FOLCHER,Alfonso,M,13,LR,Les Républicains,11240,17.18,27.93,B,2022-05-23 14:01:43
11,011,1,4,0110104,LUQUIENS,Marie Joëlle,F,10,REM,La République en marche,14282,14.85,24.16,B,2022-05-23 14:01:44
11,011,1,12,0110112,BOURNISSOUT,Jeannine,F,10,REM,La République en marche,14168,14.73,23.97,B,2022-05-23 14:01:44
11,011,2,2,0110202,AMISANO,Thérèse,M,10,REM,La République en marche,20377,22.53,36.37,B,2022-05-23 14:01:44
11,011,2,8,0110208,HAUTH,Jacques-Henri,M,13,LR,Les Républicains,11794,13.04,21.05,B,2022-05-23 14:01:44
11,011,3,6,0110306,STIEF,Celia,F,10,REM,La République en marche,16615,19.35,31.38,B,2022-05-23 14:01:45
11,011,3,12,0110312,GRAINDORG,Jean-François,M,4,SOC,Parti socialiste,9652,11.24,18.23,B,2022-05-23 14:01:45
12,012,1,8,0120108,BENEDIT,Gabriel,M,10,REM,La République en marche,26884,34.78,56.25,O,2022-05-23 14:01:46
12,012,2,5,0120205,AURIBEAU,Baya,F,10,REM,La République en marche,16829,24.51,39.48,B,2022-05-23 14:01:46
12,012,2,2,0120202,BÉGOIN,Aubin,M,13,LR,Les Républicains,8693,12.66,20.39,B,2022-05-23 14:01:46
12,012,3,4,0120304,DUPLESSIX,Nicholas,M,13,LR,Les Républicains,16262,22.64,36.95,B,2022-05-23 14:01:47
12,012,3,1,0120301,JOSEPH-JULIEN,Jean-Joseph,M,10,REM,La République en marche,14831,20.65,33.70,B,2022-05-23 14:01:47
13,013,1,15,0130115,MONBOUCHÉ,Clotaire,M,10,REM,La République en marche,14237,17.85,28.86,B,2022-05-23 14:01:47
13,013,1,10,0130110,DOMINGO-ROQUES,Denys,M,13,LR,Les Républicains,11902,14.92,24.13,B,2022-05-23 14:01:47
13,013,2,8,0130208,THIENPONT,Mariana,F,10,REM,La République en marche,22240,27.81,44.92,B,2022-05-23 14:01:48
13,013,2,9,0130209,BOUICHE,Margareth,F,3,FI,La France insoumise,6456,8.07,13.04,B,2022-05-23 14:01:48
13,013,3,9,0130309,ROGER SILAN,Josie,F,10,REM,La République en marche,13731,18.33,29.72,B,2022-05-23 14:01:48
13,013,3,7,0130307,BISOU,Céline,F,3,FI,La France insoumise,10177,13.58,22.03,B,2022-05-23 14:01:48
13,013,4,11,0130411,GRÉS,Désiré,M,3,FI,La France insoumise,9229,14.85,24.11,B,2022-05-23 14:01:49
13,013,4,19,0130419,IBARBOURE,Eugène,M,3,FI,La France insoumise,9063,14.58,23.68,B,2022-05-23 14:01:49
13,013,5,10,0130510,GAULIN,Justine,F,10,REM,La République en marche,9969,14.24,22.97,B,2022-05-23 14:01:49
13,013,5,2,0130502,NOISEUX,Cédrick,M,3,FI,La France insoumise,6454,9.22,14.87,B,2022-05-23 14:01:49
13,013,6,2,0130602,PERETTI DANGLADE,Anne Laure,F,11,MDM,Modem,15948,20.85,33.84,B,2022-05-23 14:01:49
13,013,6,8,0130608,VOLLARD,Rafael,M,13,LR,Les Républicains,12450,16.27,26.41,B,2022-05-23 14:01:49
13,013,7,1,0130701,DJABELLA,Roméo,M,10,REM,La République en marche,10148,15.16,24.31,B,2022-05-23 14:01:50
13,013,7,13,0130713,THUIZAT,Serge,M,3,FI,La France insoumise,7446,11.13,17.83,B,2022-05-23 14:01:50
13,013,8,15,0130815,DI POMPEO,Jean-Nicolas,M,10,REM,La République en marche,22927,22.59,36.38,B,2022-05-23 14:01:50
13,013,8,8,0130808,ASLOUDJ KAOUDOUNE,Rose,F,13,LR,Les Républicains,10212,10.06,16.20,B,2022-05-23 14:01:50
13,013,9,3,0130903,REICHERT-WANNER,Malory,F,11,MDM,Modem,19824,20.06,32.67,B,2022-05-23 14:01:51
13,013,9,13,0130913,GISSELBRECHT,Robin,M,13,LR,Les Républicains,15370,15.55,25.33,B,2022-05-23 14:01:51
13,013,10,10,0131010,PINTO,Ugo,M,10,REM,La République en marche,22099,20.63,33.43,B,2022-05-23 14:01:51
13,013,10,14,0131014,UZAC,Abdelmajid,M,12,UDI,Union des Démocrates et Indépendants,7705,7.19,11.66,B,2022-05-23 14:01:51
13,013,11,1,0131101,MICALLEFF,Michaël,M,11,MDM,Modem,24720,27.76,44.92,B,2022-05-23 14:01:51
13,013,11,8,0131108,RAILLET,Ana,F,3,FI,La France insoumise,7672,8.62,13.94,B,2022-05-23 14:01:51
13,013,12,1,0131201,VIZZINO,Jean-Lin,M,13,LR,Les Républicains,15863,17.07,27.47,B,2022-05-23 14:01:52
13,013,12,8,0131208,CONTOU-CARRÈRE,Josée,F,10,REM,La République en marche,15316,16.48,26.52,B,2022-05-23 14:01:52
13,013,13,14,0131314,ESTABES,Alphonse,M,2,COM,Parti communiste français,18491,19.69,31.66,B,2022-05-23 14:01:52
13,013,13,3,0131303,CADART-DEVOS,Ange,F,10,REM,La République en marche,15263,16.25,26.13,B,2022-05-23 14:01:52
13,013,14,4,0131404,PORTUGAIS,Chérifa,F,10,REM,La République en marche,22348,23.39,37.95,B,2022-05-23 14:01:52
13,013,14,12,0131412,GUISELAIN,Jean-Maurice,M,13,LR,Les Républicains,10149,10.62,17.23,B,2022-05-23 14:01:52
13,013,15,1,0131501,SANJUAN,Ornella,F,10,REM,La République en marche,22334,20.96,33.79,B,2022-05-23 14:01:53
13,013,15,11,0131511,DELAVAUT,Dario,M,13,LR,Les Républicains,18679,17.53,28.26,B,2022-05-23 14:01:53
13,013,16,10,0131610,TROBILLANT,Noria,F,10,REM,La République en marche,16481,18.24,29.59,B,2022-05-23 14:01:53
13,013,16,11,0131611,JUILLIA,Pierre-Jean,M,3,FI,La France insoumise,9830,10.88,17.65,B,2022-05-23 14:01:53
14,014,1,7,0140107,PHAM-VAN-THIEU,Jean Claude,M,10,REM,La République en marche,13818,20.10,32.45,B,2022-05-23 14:01:54
14,014,1,10,0140110,BOURJOLAY,Cathie,F,12,UDI,Union des Démocrates et Indépendants,6069,8.83,14.25,B,2022-05-23 14:01:54
14,014,2,13,0140213,SERVIT,Jocelyn,M,10,REM,La République en marche,13153,19.90,32.14,B,2022-05-23 14:01:54
14,014,2,6,0140206,POULLIEUX,Maité,F,4,SOC,Parti socialiste,7780,11.77,19.01,B,2022-05-23 14:01:54
14,014,3,11,0140311,RATTIN,Hortense,F,11,MDM,Modem,18361,23.34,37.96,B,2022-05-23 14:01:55
14,014,3,5,0140305,YEGANEFAR,Jan,M,13,LR,Les Républicains,12950,16.46,26.77,B,2022-05-23 14:01:55
14,014,4,1,0140401,BOGAERS,Morgan,M,10,REM,La République en marche,34529,33.77,54.80,O,2022-05-23 14:01:55
14,014,5,7,0140507,TOUFFU,Michaël,M,10,REM,La République en marche,22729,24.88,40.52,B,2022-05-23 14:01:56
14,014,5,3,0140503,HUERGA,Steve,M,13,LR,Les Républicains,13849,15.16,24.69,B,2022-05-23 14:01:56
14,014,6,5,0140605,PINTO MARTINS,Alberto,M,10,REM,La République en marche,20285,21.57,34.92,B,2022-05-23 14:01:56
14,014,6,2,0140602,CORNIAUX,Nathalie,F,14,DVD,Divers droite,6961,7.40,11.98,B,2022-05-23 14:01:56
15,015,1,9,0150109,BONG,Hippolyte,M,10,REM,La République en marche,13283,21.48,34.74,B,2022-05-23 14:01:57
15,015,1,10,0150110,JALLAMION,Stephan,M,13,LR,Les Républicains,11619,18.79,30.39,B,2022-05-23 14:01:57
15,015,2,5,0150205,VENITUCCI,Judes,M,13,LR,Les Républicains,10417,19.61,32.03,B,2022-05-23 14:01:57
15,015,2,10,0150210,RUDLOFT,Doris,F,10,REM,La République en marche,7435,14.00,22.86,B,2022-05-23 14:01:57
16,016,1,6,0160106,MITIC,Jean-Frédéric,M,10,REM,La République en marche,21034,25.79,41.97,B,2022-05-23 14:01:58
16,016,1,7,0160107,CHAUDOIR,Sonya,F,3,FI,La France insoumise,7305,8.96,14.58,B,2022-05-23 14:01:58
16,016,2,11,0160211,DUMONTET,Marie-Françoise,F,10,REM,La République en marche,19082,23.12,37.36,B,2022-05-23 14:01:59
16,016,2,7,0160207,GUIDOIN,Esteban,M,13,LR,Les Républicains,8701,10.54,17.03,B,2022-05-23 14:01:59
16,016,3,5,0160305,ABIDELLAH,Jehanne,F,10,REM,La République en marche,16665,18.56,29.94,B,2022-05-23 14:01:59
16,016,3,10,0160310,BRAINVILLE,Gwénaël,M,4,SOC,Parti socialiste,11969,13.33,21.50,B,2022-05-23 14:01:59
17,017,1,3,0170103,REMOLU,Emilie,M,6,DVG,Divers gauche,21990,20.72,33.66,B,2022-05-23 14:02:00
17,017,1,11,0170111,OKMEM,Morgane,F,11,MDM,Modem,16124,15.19,24.68,B,2022-05-23 14:02:01
17,017,2,6,0170206,ROUVERON,Claudine,F,10,REM,La République en marche,24330,22.71,36.72,B,2022-05-23 14:02:01
17,017,2,3,0170203,RASERO,Iris,F,13,LR,Les Républicains,12260,11.44,18.50,B,2022-05-23 14:02:01
17,017,3,8,0170308,KATENIDIS,Samba,M,10,REM,La République en marche,13153,15.96,25.96,B,2022-05-23 14:02:01
17,017,3,6,0170306,DUBANTON,Jean-Xavier,M,13,LR,Les Républicains,6832,8.29,13.48,B,2022-05-23 14:02:01
17,017,4,12,0170412,EDOUIN,Maël,M,10,REM,La République en marche,20754,22.69,36.78,B,2022-05-23 14:02:02
17,017,4,10,0170410,KREJAI,Stanislas,M,13,LR,Les Républicains,14188,15.51,25.14,B,2022-05-23 14:02:02
17,017,5,7,0170507,BERTEAU-GIRAUDET,Khalil,M,8,DIV,Divers,6606,5.73,9.26,B,2022-05-23 14:02:02
17,017,5,13,0170513,DISSARD,Anissa,F,8,DIV,Divers,6564,5.69,9.20,B,2022-05-23 14:02:02
18,018,1,4,0180104,LENEVEU PONSOT,Patrice,M,10,REM,La République en marche,17246,24.44,39.60,B,2022-05-23 14:02:03
18,018,1,6,0180106,PEYROUZELLE,Joaquim,M,13,LR,Les Républicains,9795,13.88,22.49,B,2022-05-23 14:02:03
18,018,2,3,0180203,POMPILUS,Saliha,F,11,MDM,Modem,19746,28.58,46.19,B,2022-05-23 14:02:03
18,018,2,2,0180202,BECUWE,Consuelo,F,13,LR,Les Républicains,8186,11.85,19.15,B,2022-05-23 14:02:03
18,018,3,5,0180305,DES ROCHETTES,Vital,M,10,REM,La République en marche,22722,27.01,43.74,B,2022-05-23 14:02:04
18,018,3,4,0180304,BRUNETEAUX,Mouhamadi,M,3,FI,La France insoumise,6821,8.11,13.13,B,2022-05-23 14:02:04
19,019,1,10,0190110,JOUVIGNE,René-Claude,M,10,REM,La République en marche,18194,20.06,32.50,B,2022-05-23 14:02:05
19,019,1,2,0190102,ARALDI,Jean-Jack,M,4,SOC,Parti socialiste,10108,11.14,18.06,B,2022-05-23 14:02:05
19,019,2,2,0190202,DUBÉS,Aliette,F,10,REM,La République en marche,19915,21.43,34.57,B,2022-05-23 14:02:05
19,019,2,5,0190205,VERRIEST,Marie-Christiane,F,13,LR,Les Républicains,14205,15.29,24.66,B,2022-05-23 14:02:05
21,021,1,15,0210115,PELLAT MIANA,Enguerrand,M,10,REM,La République en marche,12326,18.29,29.69,B,2022-05-23 14:02:07
21,021,1,8,0210108,TODORAN,Joséphine,F,14,DVD,Divers droite,4558,6.76,10.98,B,2022-05-23 14:02:06
21,021,2,12,0210212,GERVEAUX,Igor,M,10,REM,La République en marche,14201,20.37,32.64,B,2022-05-23 14:02:07
21,021,2,11,0210211,GASNER,Gérald,M,13,LR,Les Républicains,11555,16.57,26.56,B,2022-05-23 14:02:07
21,021,3,10,0210310,FLEURQUIN,Ludmila,F,10,REM,La République en marche,14521,20.72,33.40,B,2022-05-23 14:02:07
21,021,3,11,0210311,GANSINAT,Vicky,F,13,LR,Les Républicains,6627,9.45,15.24,B,2022-05-23 14:02:07
21,021,4,8,0210408,LLOZE,Carinne,F,10,REM,La République en marche,11363,16.89,27.23,B,2022-05-23 14:02:08
21,021,4,9,0210409,FIOCCA,Arnaldo,M,14,DVD,Divers droite,7617,11.32,18.26,B,2022-05-23 14:02:08
21,021,5,6,0210506,EISELÉ,Hector,M,10,REM,La République en marche,20921,24.82,40.05,B,2022-05-23 14:02:08
21,021,5,4,0210504,JOSSE,Pierre-André,M,13,LR,Les Républicains,13921,16.51,26.65,B,2022-05-23 14:02:08
22,022,1,7,0220107,VILA,Jean-Charles,M,11,MDM,Modem,25075,28.08,45.57,B,2022-05-23 14:02:09
22,022,1,10,0220110,MOREIRA-GUERREIRO,Valentine,F,3,FI,La France insoumise,7665,8.58,13.93,B,2022-05-23 14:02:09
22,022,2,1,0220201,GALHO,Delphin,M,10,REM,La République en marche,25226,24.94,40.39,B,2022-05-23 14:02:09
22,022,2,4,0220204,PRÊTRE,Giovanni,M,13,LR,Les Républicains,8950,8.85,14.33,B,2022-05-23 14:02:09
22,022,3,9,0220309,SÉJOURNÉ,Lilian,M,13,LR,Les Républicains,20113,23.10,37.48,B,2022-05-23 14:02:10
22,022,3,3,0220303,MARQUAT,Jean-Laurent,M,10,REM,La République en marche,19847,22.80,36.98,B,2022-05-23 14:02:10
22,022,4,9,0220409,HIEBOUS,Luis,M,10,REM,La République en marche,20331,25.62,41.49,B,2022-05-23 14:02:10
22,022,4,7,0220407,RUSSIS,Aicha,F,3,FI,La France insoumise,6480,8.17,13.22,B,2022-05-23 14:02:10
22,022,5,9,0220509,GREDE,Julian,M,10,REM,La République en marche,25818,24.52,39.73,B,2022-05-23 14:02:10
22,022,5,3,0220503,NORAZ,Jocelin,M,12,UDI,Union des Démocrates et Indépendants,10010,9.51,15.41,B,2022-05-23 14:02:10
23,023,1,1,0230101,HANNEQUIN,Arnaud,M,10,REM,La République en marche,22449,24.84,40.19,B,2022-05-23 14:02:11
23,023,1,8,0230108,JUTAN,Madani,M,13,LR,Les Républicains,11845,13.11,21.20,B,2022-05-23 14:02:11
24,024,1,2,0240102,COSTA-BARROUILLET,Noureddine,M,10,REM,La République en marche,17596,23.27,37.54,B,2022-05-23 14:02:12
24,024,1,8,0240108,MILLAN DONDELLI,Désirée,F,3,FI,La France insoumise,9067,11.99,19.34,B,2022-05-23 14:02:12
24,024,2,5,0240205,DEQUELSON,Gaëtan,M,10,REM,La République en marche,19874,24.10,38.90,B,2022-05-23 14:02:13
24,024,2,3,0240203,CRESTÉE,Marie-Dolorès,F,7,ECO,Ecologiste,7936,9.62,15.53,B,2022-05-23 14:02:13
24,024,3,8,0240308,SEGELARD,Henri-Pierre,M,11,MDM,Modem,17051,25.90,42.22,B,2022-05-23 14:02:13
24,024,3,7,0240307,SOUPIROT,Janick,F,13,LR,Les Républicains,8541,12.97,21.15,B,2022-05-23 14:02:13
24,024,4,8,0240408,DREAN GARCIA MILLAN,Josy,F,10,REM,La République en marche,13837,15.74,25.44,B,2022-05-23 14:02:13
24,024,4,1,0240401,BASSEUIL,Anne Lise,F,3,FI,La France insoumise,5965,6.79,10.96,B,2022-05-23 14:02:13
25,025,1,8,0250108,VILLEMARD,Mady,F,10,REM,La République en marche,14606,19.69,32.03,B,2022-05-23 14:02:15
25,025,1,2,0250102,HONGNIAT,Joëlle,F,13,LR,Les Républicains,6933,9.35,15.21,B,2022-05-23 14:02:15
25,025,2,2,0250202,FUMIERE,Jaky,M,7,ECO,Ecologiste,14616,18.95,30.81,B,2022-05-23 14:02:15
25,025,2,1,0250201,TLILI,Tangi,M,7,ECO,Ecologiste,14602,18.94,30.78,B,2022-05-23 14:02:15
25,025,3,9,0250309,CUGNIN,Jocelyn,M,10,REM,La République en marche,14500,22.65,36.95,B,2022-05-23 14:02:15
25,025,3,1,0250301,MAADHADHI,Isaac,M,13,LR,Les Républicains,11016,17.20,28.07,B,2022-05-23 14:02:15
25,025,4,6,0250406,CAROBENE,Jacques-André,M,10,REM,La République en marche,17670,27.13,44.04,B,2022-05-23 14:02:16
25,025,4,2,0250402,JAUZION,Rafik,M,13,LR,Les Républicains,8302,12.75,20.69,B,2022-05-23 14:02:16
25,025,5,10,0250510,COCARD,Kristelle,F,13,LR,Les Républicains,18675,22.73,36.96,B,2022-05-23 14:02:16
25,025,5,5,0250505,LANTHOEN,Anne-Sophie,F,10,REM,La République en marche,16234,19.76,32.13,B,2022-05-23 14:02:16
26,026,1,6,0260106,BÉGU,Antonia,F,10,REM,La République en marche,11750,15.55,25.30,B,2022-05-23 14:02:17
26,026,1,14,0260114,STEINAUER,Émeric,M,13,LR,Les Républicains,7580,10.03,16.32,B,2022-05-23 14:02:17
26,026,2,8,0260208,MONER-JUNCA,Edwige,F,10,REM,La République en marche,25002,26.45,42.93,B,2022-05-23 14:02:17
26,026,2,15,0260215,HERBEAU,Lolita,F,3,FI,La France insoumise,7332,7.76,12.59,B,2022-05-23 14:02:17
26,026,3,13,0260313,DA PALMA,Maéva,F,10,REM,La République en marche,20120,18.59,29.97,B,2022-05-23 14:02:18
26,026,3,2,0260302,ROBIDA,Felice,M,13,LR,Les Républicains,12491,11.54,18.61,B,2022-05-23 14:02:18
26,026,4,5,0260405,BRASSET,Hélène,F,10,REM,La République en marche,13659,14.20,23.02,B,2022-05-23 14:02:18
26,026,4,9,0260409,BOURSE-REB,Victoire,F,13,LR,Les Républicains,12956,13.47,21.84,B,2022-05-23 14:02:18
27,027,1,12,0270112,GAMBEAU,Guénola,F,10,REM,La République en marche,18778,21.95,35.82,B,2022-05-23 14:02:19
27,027,1,3,0270103,CHARGERE,Benoît,M,3,FI,La France insoumise,4848,5.67,9.25,B,2022-05-23 14:02:19
27,027,2,4,0270204,MADINGOU,Mohamed,M,10,REM,La République en marche,17387,22.26,36.10,B,2022-05-23 14:02:20
27,027,2,10,0270210,GUTIERREZ-BONNET,René-Pierre,M,13,LR,Les Républicains,6666,8.53,13.84,B,2022-05-23 14:02:20
27,027,3,7,0270307,PENSALFINI,Mado,F,11,MDM,Modem,18186,21.51,35.00,B,2022-05-23 14:02:20
27,027,3,5,0270305,VAN RYSEGHEM,Serge,M,12,UDI,Union des Démocrates et Indépendants,9660,11.42,18.59,B,2022-05-23 14:02:20
